athlete_id,name,sex,NOC,country_name,birth_date,sport_principal,sport,sport_code
1926317,BINTE MOHAMED RAFAEE Saiyidah Aisy,Female,SGP,Singapore,1988-04-20,Rowing,Rowing,ROW
1926319,CHRISTIE Jonatan,Male,INA,Indonesia,1997-09-15,Badminton,Badminton,BDM
1926323,KATETHONG Supanida,Female,THA,Thailand,1997-10-26,Badminton,Badminton,BDM
1926326,ARDIANTO Muhammad Rian,Male,INA,Indonesia,1996-02-13,Badminton,Badminton,BDM
1926331,MENTARI Pitha Haningtyas,Female,INA,Indonesia,1999-07-01,Badminton,Badminton,BDM
1926334,RIVALDY Rinov,Male,INA,Indonesia,1999-11-12,Badminton,Badminton,BDM
1926336,KITITHARAKUL Jongkolphan,Female,THA,Thailand,1993-03-01,Badminton,Badminton,BDM
1926339,PRAJONGJAI Rawinda,Female,THA,Thailand,1993-06-29,Badminton,Badminton,BDM
1926340,ROMA Sofia,Female,PUR,Puerto Rico,1996-11-21,Basketball,Basketball,BKB
1926341,RAMADHANTI Siti Fadia Silva,Female,INA,Indonesia,2000-11-16,Badminton,Badminton,BDM
1926342,TAERATTANACHAI Sapsiree,Female,THA,Thailand,1992-04-18,Badminton,Badminton,BDM
1926343,PEREZ Mariah,Female,PUR,Puerto Rico,2000-08-09,Basketball,Basketball,BKB
1926346,INTANON Ratchanok,Female,THA,Thailand,1995-02-05,Badminton,Badminton,BDM
1926355,GIBSON Ali,Female,PUR,Puerto Rico,1993-03-27,Basketball,Basketball,BKB
1926387,BRUME Ese,Female,NGR,Nigeria,1996-01-20,Athletics,Athletics,ATH
1926391,AMAECHI Obiageri Pamela,Female,NGR,Nigeria,1999-03-12,Athletics,Athletics,ATH
1926392,OGUNMAKINJU Omolara,Female,NGR,Nigeria,1993-05-25,Athletics,Athletics,ATH
1926393,IBADIN Edose,Male,NGR,Nigeria,1993-02-27,Athletics,Athletics,ATH
1926394,ANUMBA Ashley,Female,NGR,Nigeria,1999-06-11,Athletics,Athletics,ATH
1926458,ORTIZ Christopher,Male,PUR,Puerto Rico,1993-04-02,Basketball,Basketball,BKB
1926464,CONDITT IV George,Male,PUR,Puerto Rico,2000-08-22,Basketball,Basketball,BKB
1926484,CLAVELL Gian,Male,PUR,Puerto Rico,1993-11-26,Basketball,Basketball,BKB
1926485,THOMPSON JR. Stephen,Male,PUR,Puerto Rico,1997-03-23,Basketball,Basketball,BKB
1926486,MORRISON Joseph,Male,NZL,New Zealand,2001-10-04,Hockey,Hockey,HOC
1926487,SMITH Jake,Male,NZL,New Zealand,1991-04-03,Hockey,Hockey,HOC
1926488,CHILD Simon,Male,NZL,New Zealand,1988-04-16,Hockey,Hockey,HOC
1926490,DIXON Dominic,Male,NZL,New Zealand,1996-08-07,Hockey,Hockey,HOC
1926491,FINDLAY Sean,Male,NZL,New Zealand,2001-12-05,Hockey,Hockey,HOC
1926493,MORRISON Charlie,Male,NZL,New Zealand,2003-07-20,Hockey,Hockey,HOC
1926495,READ Brad,Male,NZL,New Zealand,1995-02-04,Hockey,Hockey,HOC
1926497,HAYWARD Leon,Male,NZL,New Zealand,1990-04-23,Hockey,Hockey,HOC
1926499,TARRANT Blair,Male,NZL,New Zealand,1990-05-11,Hockey,Hockey,HOC
